"toy_id","toy_name","category","difficulty_to_make"
1,LEGO blocks,educational,3
2,Teddy bears,indoor,4
3,Dollhouses,indoor,5
4,Remote control cars,indoor_outdoor,4
5,Action figures,indoor,3
6,Jigsaw puzzles,educational,2
7,Play-Doh,educational,1
8,Building blocks,educational,2
9,Toy trains,indoor,3
10,Jump ropes,outdoor,1
11,Board games,indoor,3
12,Toy kitchen sets,indoor,4
13,Stuffed animals,indoor,3
14,Barbie dolls,indoor,2
15,Yo-yos,indoor_outdoor,1
16,Building sets,educational,4
17,Toy trucks,indoor_outdoor,2
18,Hula hoops,outdoor,1
19,Rubiks cubes,educational,3
20,Toy musical instruments,educational,3
